Smell,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.6127665,0.18988381,0.5006884,-0.05543094,0.18557592,0.49363044,-0.6649221,-0.6857393,0.27044052,0.2395403,0.001007406,0.38314056,0.5938893
0,-0.5990102,0.7536092,0.6623524,-0.6040479,0.88449097,0.3019614,-0.54898936,0.7009851,-0.90620524,-0.5783914,0.4736701,0.38562658,-0.8752289
0,0.5375525,0.20509018,0.73772174,0.18278638,0.4077202,-0.13368213,-0.3554608,-0.45501065,-0.181539,0.29566908,0.54624623,0.71051997,-0.292116
0,-0.5662143,0.64682454,0.32776806,-0.50105363,0.37905303,0.6529396,-0.14690189,0.3089057,-0.3555864,-0.015781274,-0.3435206,-0.46703446,-0.56060535
0,0.35830468,-0.76468223,-0.7232047,0.59138405,-0.87068063,-0.042469006,0.65790117,-0.6414234,0.83632207,0.35071203,-0.24224633,-0.56330895,0.83846045
0,0.9039271,-0.7039967,-0.35595986,0.724928,-0.22098313,0.17994541,-0.52761114,0.40996745,0.20445535,0.35769513,0.13441825,0.7749223,0.8552826
1,0.25074348,-0.735513,-0.7905821,-0.31786397,-0.5345458,-0.1302423,0.32388654,0.36284307,0.6389994,-0.29148576,0.44712535,0.7090394,0.5841518
1,0.7148894,-0.50366557,0.020105397,0.66140074,-0.123634204,-0.26811934,-0.18238698,-0.2811106,0.18865772,0.22155143,0.52294874,0.68398124,0.511822
1,0.66934884,0.3732121,0.7675726,0.8283398,0.8310484,0.123982154,-0.70768934,0.23696156,-0.8648035,0.09697131,0.21841934,0.43770653,-0.19146083
1,-0.523102,-0.7376556,-0.83170503,0.029074349,-0.63951504,0.15110506,0.74415016,-0.12356953,0.21343273,-0.26676422,-0.35165402,-0.87194115,0.6437153
1,-0.22341496,0.64715517,0.6357832,-0.011204808,0.39860326,0.63929784,-0.32665595,-0.09698788,-0.53379846,0.25466895,-0.3806238,-0.6330011,-0.5392079
1,0.3639862,0.7506858,0.82363284,-0.38763896,0.6125757,0.03363279,-0.6495105,0.22493209,-0.12720488,0.3156195,0.59491533,0.8980864,-0.7172657
1,-0.42043898,0.66952634,0.55970806,-0.4346613,0.6578418,0.6300491,-0.53682363,0.52204335,-0.69560826,-0.15130201,-0.019401327,-0.0826014,-0.62173414
1,-0.07746054,0.6715055,0.6978015,0.26527694,0.46969268,0.66707176,-0.44281787,-0.11796119,-0.55442613,0.3692605,-0.4204659,-0.59937453,-0.41002062
1,0.85965115,-0.038832303,0.59226006,0.72525084,0.059812933,-0.13106023,-0.57079947,-0.20621645,0.0729017,0.5422479,0.37532994,0.80210507,0.350547
1,0.687924,-0.6573706,-0.3735074,0.6653056,-0.7836791,-0.3054057,0.50302017,-0.7588059,0.86035043,0.5802139,0.081392676,0.0650148,0.74784493
1,-0.9047666,0.6726005,0.07606126,-0.7981824,0.3118027,0.5003307,0.48530024,0.015952898,-0.43440554,-0.27805918,-0.22738919,-0.7794977,-0.8267676
1,0.088512935,0.8031925,0.88337463,0.30933085,0.9227573,0.28220588,-0.6990401,0.32846248,-0.9305565,-0.045778774,0.43135935,0.48293835,-0.8003886
1,-0.3626076,-0.76145333,-0.83511496,-0.006559838,-0.75647175,0.12253885,0.7340628,-0.23261552,0.49074066,-0.13096939,-0.3023165,-0.8026516,0.6923889
1,-0.07620249,-0.7258699,-0.78832865,-0.11633542,-0.5577988,-0.30657902,0.6489627,-0.22691002,0.61748433,-0.2583432,0.36733758,0.20422973,0.45374176
1,-0.6937322,0.68986017,0.5591241,-0.582383,0.8293831,0.48662558,-0.421266,0.5822156,-0.8896705,-0.480685,0.28453422,0.04742528,-0.8133047
1,0.82359236,-0.6385306,-0.2839208,0.78718793,-0.8472774,-0.26558155,0.3846537,-0.79024374,0.91559863,0.76068497,-0.23069894,0.01034783,0.8186694
1,-0.8543265,0.39805222,-0.24844246,-0.90657943,-0.50443125,-0.018968686,0.69758487,-0.5020485,0.6335931,-0.02182305,0.12681404,-0.58556026,-0.66261744
1,0.15149939,0.72514933,0.7821327,0.2414978,0.7749977,0.5829937,-0.68010324,0.3260398,-0.7979475,0.20209032,-0.06331716,0.033495475,-0.5450043
1,0.14994764,0.6025782,0.7127192,0.49133438,0.6427408,0.64131635,-0.58595043,0.033892013,-0.6821916,0.2640298,-0.37009346,-0.30226895,-0.24146298
1,-0.65545833,0.7577492,0.65800464,-0.20744908,0.5496397,0.3953349,-0.015077591,-0.35575214,-0.6439364,0.11999905,-0.19785829,-0.7445191,-0.7493187
1,-0.8212211,0.63479435,0.2597745,-0.7921732,0.8516389,0.4694849,-0.23341356,0.7520137,-0.9060642,-0.6863121,0.40266335,0.13218883,-0.86455446
1,-0.52395964,-0.28717378,-0.4713315,-0.7013164,-0.6812427,-0.24468367,0.7220198,-0.5759946,0.7718449,-0.1025468,0.47247854,0.057062782,-0.23683292
1,0.6566525,-0.22187883,0.34058672,0.5467536,-0.16247371,-0.37655166,0.003250767,-0.6699588,0.2951835,0.2672893,0.69552207,0.63552856,0.1336515
1,-0.41229373,-0.8166782,-0.9188256,-0.4493239,-0.87611014,0.16040468,0.7552212,-0.12810642,0.8207949,-0.14942434,-0.27251294,-0.6357764,0.7382268
1,0.7501752,-0.70210224,-0.5282255,0.67678666,-0.86196685,-0.19581778,0.5110801,-0.7050399,0.9217076,0.68518746,-0.1954726,-0.039843637,0.84762657
1,-0.25433037,-0.5783668,-0.73506063,-0.56797886,-0.7081529,-0.27492276,0.66829646,-0.23324417,0.76268595,-0.25229087,0.3909997,0.14062548,0.27874315
1,-0.17184667,0.6659772,0.6174513,-0.09333636,0.4347156,0.73394805,-0.4998135,0.0829352,-0.4873345,0.26465175,-0.47573808,-0.50258213,-0.39895174
